Algorithm,DatasetName,Accuracy,Time,,,
KNN,Plane,0.97,0.0,,,
Decision tree classifier,Plane,0.51,0.01,,,
TSCMP,Strawberry,0.87,122.8,,,
ShapeletTransformation,Strawberry,0.93,3633.38,,,
Decision Tree with Shapelet,Strawberry,0.64,44.37,,,
KNN,Strawberry,0.94,0.02,,,
Decision tree classifier,Strawberry,0.88,0.06,,,
TSCMP,Symbols,0.33,45.25,,,
ShapeletTransformation,Symbols,0.7,73.44,,,
Decision Tree with Shapelet,Symbols,0.17,41.06,,,
KNN,Symbols,0.76,0.0,,,
Decision tree classifier,Symbols,0.17,0.0,,,
TSCMP,Trace,0.98,20.14,,,
ShapeletTransformation,Trace,0.93,196.98,,,
Decision Tree with Shapelet,Trace,0.67,7.64,,,
KNN,Trace,0.74,0.0,,,
Decision tree classifier,Trace,0.72,0.01,,,
TSCMP,TwoLeadECG,0.77,2.46,,,
ShapeletTransformation,TwoLeadECG,0.89,5.03,,,
Decision Tree with Shapelet,TwoLeadECG,0.5,1.12,,,
KNN,TwoLeadECG,0.58,0.0,,,
Decision tree classifier,TwoLeadECG,0.5,0.0,,,
TSCMP,Wafer,0.94,609.83,,,
ShapeletTransformation,Wafer,0.97,4107.69,,,
Decision Tree with Shapelet,Wafer,0.89,378.04,,,
KNN,Wafer,0.99,0.03,,,
Decision tree classifier,Wafer,0.97,0.06,,,
TSCMP,Wine,0.61,10.05,,,
ShapeletTransformation,Wine,0.56,48.71,,,
Decision Tree with Shapelet,Wine,0.5,4.01,,,
KNN,Wine,0.72,0.0,,,
Decision tree classifier,Wine,0.74,0.0,,,
TSCMP,WordSynonyms,0.03,72.22,,,
ShapeletTransformation,WordSynonyms,0.24,1693.22,,,
Decision Tree with Shapelet,WordSynonyms,0.04,20.28,,,
KNN,WordSynonyms,0.58,0.01,,,
Decision tree classifier,WordSynonyms,0.27,0.12,,,
TSCMP,Worms,0.21,61.31,,,
ShapeletTransformation,Worms,0.53,5334.4,,,
Decision Tree with Shapelet,Worms,0.38,36.15,,,
KNN,Worms,0.35,0.02,,,
Decision tree classifier,Worms,0.29,0.07,,,
TSCMP,WormsTwoClass,0.68,60.08,,,
ShapeletTransformation,WormsTwoClass,0.71,4945.81,,,
Decision Tree with Shapelet,WormsTwoClass,0.43,35.86,,,
KNN,WormsTwoClass,0.61,0.02,,,
Decision tree classifier,WormsTwoClass,0.52,0.05,,,
TSCMP,Yoga,0.56,79.32,,,
ShapeletTransformation,Yoga,0.71,2926.08,,,
Decision Tree with Shapelet,Yoga,0.52,30.79,,,
KNN,Yoga,0.79,0.02,,,
Decision tree classifier,Yoga,0.6,0.05,,,
TSCMP,ArrowHead,0.53,6.39,,,
ShapeletTransformation,ArrowHead,0.5,38.47,,,
Decision Tree with Shapelet,ArrowHead,0.39,2.67,,,
KNN,ArrowHead,0.64,0.0,,,
Decision tree classifier,ArrowHead,0.39,0.0,,,
TSCMP,ECG200,0.78,16.3,,,
ShapeletTransformation,ECG200,0.75,28.85,,,
Decision Tree with Shapelet,ECG200,0.64,4.77,,,
KNN,ECG200,0.85,0.0,,,
Decision tree classifier,ECG200,0.76,0.0,,,
TSCMP,ECG5000,0.91,86.87,,,
ShapeletTransformation,ECG5000,0.9,1002.37,,,
Decision Tree with Shapelet,ECG5000,0.46,28.04,,,
KNN,ECG5000,0.87,0.01,,,
Decision tree classifier,ECG5000,0.9,0.04,,,
TSCMP,GunPoint,0.91,7.64,,,
ShapeletTransformation,GunPoint,0.84,22.97,,,
Decision Tree with Shapelet,GunPoint,0.73,2.85,,,
KNN,GunPoint,0.85,0.0,,,
Decision tree classifier,GunPoint,0.63,0.0,,,
TSCMP,ItalyPowerDemand,0.92,6.93,,,
ShapeletTransformation,ItalyPowerDemand,0.92,1.54,,,
Decision Tree with Shapelet,ItalyPowerDemand,0.53,2.21,,,
KNN,ItalyPowerDemand,0.93,0.0,,,
Decision tree classifier,ItalyPowerDemand,0.97,0.0,,,
TSCMP,PhalangesOutlinesCorrect,0.65,650.15,,,
ShapeletTransformation,PhalangesOutlinesCorrect,0.68,3551.72,,,
Decision Tree with Shapelet,PhalangesOutlinesCorrect,0.62,219.42,,,
KNN,PhalangesOutlinesCorrect,0.66,0.02,,,
Decision tree classifier,PhalangesOutlinesCorrect,0.69,0.07,,,
TSCMP,ElectricDevices,0.28,4659.48,,,
Decision Tree with Shapelet,ElectricDevices,0.36,2018.03,,,
KNN,ElectricDevices,0.53,0.23,,,
Decision tree classifier,ElectricDevices,0.47,0.97,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Parametri utilizzati,,,,,,
Candidates,Max depth,Min samples,Window size,Remove candi,k,NumCluster(Medoids)
Discords,3,20,20,1,2,20
