Algorithm,Dataset,Accuracy,PreprocessingTrainTime,TrainTime,PreprocessingTestTime,PredictionTime,avgSSE,avgNumIterationKMeans
KNN,ECG5000,0.87,0.01,0.01,0.93,,,
KNN,FaceFour,0.68,0.01,0.0,0.02,,,
KNN,GunPoint,0.85,0.01,0.0,0.02,,,
KNN,ItalyPowerDemand,0.93,0.0,0.0,0.05,,,
KNN,OliveOil,0.83,0.01,0.01,0.02,,,
KNN,PhalangesOutlinesCorrect,0.66,0.03,0.02,0.24,,,
KNN,Strawberry,0.94,0.03,0.02,0.12,,,
KNN,Trace,0.74,0.01,0.0,0.02,,,
KNN,TwoLeadECG,0.58,0.01,0.0,0.07,,,
KNN,Wafer,0.99,0.04,0.03,1.59,,,
KNN,Wine,0.72,0.01,0.0,0.02,,,
KNN,Worms,0.35,0.04,0.02,0.07,,,
KNN,WormsTwoClass,0.61,0.04,0.02,0.07,,,
KNN,Yoga,0.79,0.03,0.02,0.87,,,
,,,,,,,,
,,,,,,,,
Algorithm,DatasetName,Accuracy,TrainTime,TestTime,,,,
Decision tree classifier,ArrowHead,0.39,0.0,0.0,,,,
Decision tree classifier,BirdChicken,0.5,0.0,0.0,,,,
Decision tree classifier,Coffee,0.54,0.0,0.0,,,,
Decision tree classifier,Earthquakes,0.68,0.06,0.01,,,,
Decision tree classifier,ECG200,0.76,0.0,0.0,,,,
Decision tree classifier,ECG5000,0.9,0.04,0.04,,,,
Decision tree classifier,FaceFour,0.16,0.0,0.0,,,,
Decision tree classifier,GunPoint,0.63,0.0,0.0,,,,
Decision tree classifier,ItalyPowerDemand,0.97,0.0,0.0,,,,
Decision tree classifier,OliveOil,0.4,0.0,0.0,,,,
Decision tree classifier,PhalangesOutlinesCorrect,0.69,0.07,0.01,,,,
Decision tree classifier,Strawberry,0.88,0.06,0.01,,,,
Decision tree classifier,Trace,0.72,0.01,0.0,,,,
Decision tree classifier,TwoLeadECG,0.5,0.0,0.01,,,,
Decision tree classifier,Wafer,0.97,0.06,0.06,,,,
Decision tree classifier,Wine,0.74,0.0,0.0,,,,
Decision tree classifier,Worms,0.29,0.07,0.01,,,,
Decision tree classifier,WormsTwoClass,0.52,0.05,0.01,,,,
Decision tree classifier,Yoga,0.6,0.05,0.08,,,,
